chain_id,day,user_id,length,score_mean,score_min
0,0,655361,2,0.771,0.771
0,1,4369201,2,0.771,0.771
1,0,2228236,2,0.65,0.65
1,1,1948187,2,0.65,0.65
2,0,131089,2,0.8529,0.8529
2,1,3498388,2,0.8529,0.8529
3,0,1179672,2,0.6538,0.6538
3,1,2066623,2,0.6538,0.6538
4,0,1835037,2,0.6616,0.6616
4,1,4540106,2,0.6616,0.6616
5,0,917536,2,0.6912,0.6912
5,1,2150458,2,0.6912,0.6912
6,0,524321,2,0.8167,0.8167
6,1,3639913,2,0.8167,0.8167
7,0,1310752,2,0.6613,0.6613
7,1,6950544,2,0.6613,0.6613
8,0,524330,2,0.7406,0.7406
8,1,3088455,2,0.7406,0.7406
9,0,43,2,0.825,0.825
9,1,2239648,2,0.825,0.825
10,0,1179694,2,0.7692,0.7692
10,1,3612721,2,0.7692,0.7692
11,0,524340,2,0.9667,0.9667
11,1,1488336,2,0.9667,0.9667
12,0,393269,2,0.925,0.925
12,1,3689270,2,0.925,0.925
13,0,262198,2,0.959,0.959
13,1,3813198,2,0.959,0.959
14,0,262199,2,0.8417,0.8417
14,1,1719154,2,0.8417,0.8417
15,0,786488,2,0.9743,0.9743
15,1,3296719,2,0.9743,0.9743
16,0,1310777,2,0.65,0.65
16,1,4859856,2,0.65,0.65
17,0,262203,2,0.8888,0.8888
17,1,1589978,2,0.8888,0.8888
18,0,1179707,2,0.65,0.65
18,1,1995614,2,0.65,0.65
19,0,1048637,2,0.731,0.731
19,1,2005881,2,0.731,0.731
20,0,1966143,2,0.6558,0.6558
20,1,2090178,2,0.6558,0.6558
21,0,2359359,2,0.65,0.65
21,1,5557217,2,0.65,0.65
22,0,524356,2,0.9743,0.9743
22,1,3710526,2,0.9743,0.9743
23,0,262213,2,0.7081,0.7081
23,1,1964479,2,0.7081,0.7081
24,0,1572942,2,0.7074,0.7074
24,1,1612031,2,0.7074,0.7074
25,0,131152,2,0.891,0.891
25,1,3805624,2,0.891,0.891
26,0,1310802,2,0.65,0.65
26,1,2119651,2,0.65,0.65
27,0,524376,2,0.9048,0.9048
27,1,1997281,2,0.9048,0.9048
28,0,131161,2,0.8987,0.8987
28,1,1895375,2,0.8987,0.8987
29,0,1310810,2,0.6519,0.6519
