X,Y,cellid,lat,lon,PosXcd_142,PosYcd_142
-851422.554985051,-1009960.05147717,UKVUKO104,50.238137000000002,12.849598000000000,-851423,-1009960
-851422.554985051,-1009960.05147717,UKVUKO204,50.238137000000002,12.849598000000000,-851423,-1009960
-848645.380294143,-1014039.66343977,UKVVIV103,50.205827999999997,12.897002000000001,-848645,-1014040
-856093.632904087,-1019978.37483275,BSOHSL4,50.142574000000003,12.807088000000000,-856094,-1019978
-851338.789768683,-1010402.36195704,BKVLIS1,50.234327999999998,12.851732000000000,-851339,-1010402
-867840.857678513,-1005263.55667779,BSOSPC3,50.256394000000000,12.611860999999999,-867841,-1005264
-843606.154507747,-1003403.55810182,VKVYOC104,50.307360000000003,12.943500999999999,-843606,-1003404
-861772.002540658,-1005861.17090142,USOVRE103,50.259807000000002,12.697217999999999,-861772,-1005861
-870960.793466034,-999655.156310537,BSOROT4,50.301654999999997,12.556011000000000,-870961,-999655
-851298.230263622,-995093.361773684,BKVABE3,50.370311000000001,12.818478000000001,-851298,-995093
-870963.70415464,-999669.895336398,VSOYRO104,50.301519999999996,12.556004000000000,-870964,-999670
-858765.23348314,-1008518.91828546,DSOCHO3,50.240510000000000,12.744764000000000,-858765,-1008519
-874391.314954753,-998051.238370111,BSOKRS2,50.310907999999998,12.504849000000000,-874391,-998051
-852461.73702798,-1009462.42989048,UKVDVO104,50.241086000000003,12.834114000000000,-852462,-1009462
-856093.632904087,-1019978.37483275,BSOHSL2,50.142574000000003,12.807088000000000,-856094,-1019978
-856089.866219901,-1019987.87443076,VSOYHP104,50.142494999999997,12.807161000000001,-856090,-1019988
-853591.42749296,-1013121.04086188,BKVSTU2,50.207003000000000,12.826551000000000,-853591,-1013121
-856761.365824126,-1021022.68822976,VSOYHS104,50.132354999999997,12.800169000000000,-856761,-1021023
-849147.847686958,-1010607.81770609,UKVKOL203,50.235595000000004,12.882515000000000,-849148,-1010608
-843154.064417261,-1003562.95391094,BKVOST2,50.306578000000002,12.950119000000001,-843154,-1003563
-848609.999446688,-1000940.42526692,BKVMER4,50.322195999999998,12.868696999999999,-848610,-1000940
-871738.499270854,-1004719.81928144,BSOGLA2,50.255588000000003,12.556687000000000,-871738,-1004720
-852778.801343367,-1010857.69580359,BKVCHE4,50.228248999999998,12.832803000000000,-852779,-1010858
-849140.037590621,-1012413.14363121,BKVIMP4,50.219574999999999,12.886588000000000,-849140,-1012413
-843380.857262755,-997576.224011536,BKVJMA1,50.359426999999997,12.933859000000000,-843381,-997576
-856089.866219901,-1019987.87443076,VSOYHP103,50.142494999999997,12.807161000000001,-856090,-1019988
-850357.959370354,-1010627.25441797,UKVSPO103,50.233716000000001,12.865805000000000,-850358,-1010627
-849286.225807192,-1009420.61767696,BKVBOH1,50.245941999999999,12.877990000000000,-849286,-1009421
-866726.286033553,-1003166.5526325,BSOJIN1,50.276609999999998,12.622579000000000,-866726,-1003167
-843228.696643189,-1011073.04891073,BKVSED4,50.239775000000002,12.965491999999999,-843229,-1011073
-849147.847686958,-1010607.81770609,BKVKOL2,50.235595000000004,12.882515000000000,-849148,-1010608
-836349.023428324,-1016545.68827733,BKVDOU3,50.200747000000000,13.072615000000001,-836349,-1016546
-844916.346175012,-996272.39424162,BKVJAC4,50.368848999999997,12.909679000000001,-844916,-996272
-872013.827793776,-1015203.71259899,BSOBUK4,50.162159000000003,12.576516000000000,-872014,-1015204
-851338.789768683,-1010402.36195704,BKVLIS2,50.234327999999998,12.851732000000000,-851339,-1010402
-858765.23348314,-1008518.91828546,BSOCHO1,50.240510000000000,12.744764000000000,-858765,-1008519
-858916.868156726,-1008195.93090824,VSOYCS104,50.243161000000001,12.741947000000000,-858917,-1008196
-851468.263952713,-1011128.44918539,BKVSUM1,50.227697999999997,12.851539000000001,-851468,-1011128
-853591.42749296,-1013121.04086188,UKVSTU204,50.207003000000000,12.826551000000000,-853591,-1013121
-851422.554985051,-1009960.05147717,UKVUKO103,50.238137000000002,12.849598000000000,-851423,-1009960
-858530.773099275,-994404.765897058,BKVNHM4,50.366132999999998,12.716561000000000,-858531,-994405
-843907.43540837,-999600.650801944,DKVHOZ2,50.340710000000001,12.930990000000000,-843907,-999601
-856093.632904087,-1019978.37483275,BSOHSL3,50.142574000000003,12.807088000000000,-856094,-1019978
-853591.42749296,-1013121.04086188,BKVSTU1,50.207003000000000,12.826551000000000,-853591,-1013121
-855623.681586687,-1005582.90252728,VKVYNR101,50.271045999999998,12.781746000000000,-855624,-1005583
-858765.23348314,-1008518.91828546,DSOCHO4,50.240510000000000,12.744764000000000,-858765,-1008519
-871674.986267847,-1005861.98258115,DSOOLO1,50.245545000000000,12.560145000000000,-871675,-1005862
-852461.73702798,-1009462.42989048,UKVDVO202,50.241086000000003,12.834114000000000,-852462,-1009462
-848609.999446688,-1000940.42526692,BKVMER1,50.322195999999998,12.868696999999999,-848610,-1000940
-858988.871420918,-1008222.77823654,BSOCHD3,50.242820000000002,12.741009999999999,-858989,-1008223
-849644.874194732,-1011642.02328817,BKVSAD1,50.225710999999997,12.877907000000000,-849645,-1011642
-850875.87664685,-1011138.65823628,BKVKRY2,50.228444000000003,12.859761000000001,-850876,-1011139
-849147.847686958,-1010607.81770609,UKVKOL103,50.235595000000004,12.882515000000000,-849148,-1010608
-845250.528980235,-995949.882998586,VKVYNM104,50.371243000000000,12.904330000000000,-845251,-995950
-850682.638806751,-1004098.83525314,BKVRUP4,50.291224999999997,12.846925000000001,-850683,-1004099
-850682.638806751,-1004098.83525314,BKVRUP1,50.291224999999997,12.846925000000001,-850683,-1004099
-853620.164180945,-1021463.38736259,BSOLEZ1,50.132891000000001,12.844529000000000,-853620,-1021463
-843502.162686548,-1004389.69161818,BKVOKO3,50.298748000000003,12.947101000000000,-843502,-1004390
-858692.001697281,-1013845.4749993,VSOYLO101,50.193328999999999,12.757605000000000,-858692,-1013845
-861772.002540658,-1005861.17090142,USOVRE101,50.259807000000002,12.697217999999999,-861772,-1005861
-854706.559863812,-1011615.61000341,BKVGLO2,50.218789000000001,12.807798000000000,-854707,-1011616
-874391.314954753,-998051.238370111,BSOKRS1,50.310907999999998,12.504849000000000,-874391,-998051
-849918.84626857,-1011228.57433722,DKVTGM1,50.228996000000002,12.873206000000000,-849919,-1011229
-850294.262843696,-1010237.35323499,DKVPAN2,50.237268000000000,12.865829000000000,-850294,-1010237
-843110.835001709,-1002980.87512566,BKVOMA3,50.311807999999999,12.949445000000001,-843111,-1002981
-852012.109203001,-1011435.84591605,UKVARE101,50.224200000000003,12.844689000000001,-852012,-1011436
-856761.365824126,-1021022.68822976,VSOYHS102,50.132354999999997,12.800169000000000,-856761,-1021023
-850357.959370354,-1010627.25441797,UKVSPO202,50.233716000000001,12.865805000000000,-850358,-1010627
-849140.037590621,-1012413.14363121,UKVIMP102,50.219574999999999,12.886588000000000,-849140,-1012413
